,/lpc/nct6797d/control/0,/lpc/nct6797d/control/1,/lpc/nct6797d/control/2,/lpc/nct6797d/control/3,/lpc/nct6797d/control/4,/lpc/nct6797d/control/5,/lpc/nct6797d/control/6,/lpc/nct6797d/voltage/0,/lpc/nct6797d/voltage/1,/lpc/nct6797d/voltage/2,/lpc/nct6797d/voltage/3,/lpc/nct6797d/voltage/4,/lpc/nct6797d/voltage/5,/lpc/nct6797d/voltage/6,/lpc/nct6797d/voltage/7,/lpc/nct6797d/voltage/9,/lpc/nct6797d/voltage/11,/lpc/nct6797d/voltage/12,/lpc/nct6797d/voltage/13,/lpc/nct6797d/voltage/14,/lpc/nct6797d/temperature/1,/lpc/nct6797d/temperature/2,/lpc/nct6797d/temperature/3,/lpc/nct6797d/temperature/5,/lpc/nct6797d/temperature/6,/lpc/nct6797d/fan/0,/lpc/nct6797d/fan/1,/lpc/nct6797d/fan/2,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/0,/amdcpu/0/power/0,/amdcpu/0/clock/0,/amdcpu/0/power/2,/amdcpu/0/power/3,/amdcpu/0/power/4,/amdcpu/0/power/5,/amdcpu/0/power/6,/amdcpu/0/power/7,/amdcpu/0/power/8,/amdcpu/0/power/9,/amdcpu/0/temperature/0,/amdcpu/0/temperature/4,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/power/1,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0,/hdd/2/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","Fan Control #7","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VTT","Voltage #12","Voltage #13","Voltage #14","Voltage #15","Temperature #1","Temperature #2","Temperature #3","Temperature #5","Temperature #6","Fan #1","Fan #2","Fan #3","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Package","Bus Speed","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU CCD #1","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Cores","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Temperature","Used Space","Used Space"
03/23/2023 19:35:41,100,60,63.92157,57.64706,57.64706,57.64706,49.80392,1.144,1,3.328,3.31200027,1,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,40,38,-1,2335.64014,1143.09912,1335.31152,2.38095522,0.793647766,0,0,0,0,4.76190472,3.96825075,1.48808956,34.27729,100.0008,2.03865719,0.730392635,0.139194772,0.115628183,0.121538155,0.42557922,2.83782935,2.4878087,51.25,41.5,3880.031,3880.031,3880.031,3880.031,3880.031,3880.031,4850.039,3880.031,8.896628,23.7172546,7.57228851,24.35505,48,1800.00012,9501.996,0,3,1,0,0,57,1104,10240,1566.5,8673.5,15.2978516,105.996,19.53125,4.8828125,22,32.049263,40,96.7100449,86.69095
03/23/2023 19:35:43,100,60,63.92157,57.64706,57.64706,57.64706,49.80392,1.176,1,3.328,3.31200027,1,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,40,38,-1,2343.75,1146.98389,1348.65137,2.34375,0.78125,0,0,0.78125,0,10.9375,5.46875,2.5390625,41.02712,100.0008,2.64774323,1.5841006,0.31276983,0.20533596,0.147621229,0.7374118,4.824365,3.56045938,53,42,3775.03027,3775.03027,3775.03027,3775.03027,3775.03027,3775.03027,3775.03027,3775.03027,14.0198078,23.8077621,7.601185,24.3261528,48,1800.00012,9501.996,0,4,1,0,0,57,1108,10240,1566.875,8673.125,15.3015137,106.172005,20.5078125,4.8828125,22,32.049263,37,96.7100449,86.69096
03/23/2023 19:35:44,100,60,63.92157,57.64706,57.64706,57.64706,49.80392,1.176,1,3.328,3.31200027,1,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,40,38,-1,2343.75,1146.98389,1348.65137,3.076923,0.7692337,0.78125,0,0,0,3.8461566,3.8461566,1.53996944,37.2210846,100.0008,2.272815,1.14930356,0.317409039,0.306568265,0.176433727,0.561115861,2.96779943,2.84781313,52.5,40.75,3775.03027,3775.03027,3775.03027,3775.03027,3775.03027,3775.03027,3775.03027,3775.03027,10.5992584,23.8101425,7.601944,24.3253937,48,1800.00012,9501.996,0,4,1,0,0,57,1106,10240,1566.875,8673.125,15.3015137,105.989006,0,4.8828125,22,32.049263,37,96.7100449,86.69096
03/23/2023 19:35:44,100,60,63.92157,57.64706,57.64706,57.64706,49.80392,1.136,1,3.344,3.31200027,1.008,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,40,38,-1,2343.75,1112.94312,1350,3.174603,1.58730149,0.78125,0,0.78125,1.57489777,6.349206,2.38095522,2.07867622,35.3547935,100.0008,2.10364938,1.10087037,0.161708638,0.22670114,0.131669313,0.381935269,2.92466259,2.47385645,51.875,48.75,4800.03857,3840.03076,3840.03076,3840.03076,3840.03076,4800.03857,4800.03857,4800.03857,9.505053,23.8133545,7.60297,24.3243675,48,1800.00012,9501.996,0,4,1,0,0,57,1107,10240,1566.875,8673.125,15.3015137,106.217,20.5078125,4.8828125,22,32.049263,37,96.7100449,86.69096
03/23/2023 19:35:45,100,60,63.92157,57.64706,57.64706,57.64706,49.80392,1.15200007,1,3.328,3.31200027,1.008,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,40,38,-1,2343.75,1091.3501,1330.04932,0,0,0,0,0,0,5.46875,4.6875,1.26953125,37.0321655,100.0008,2.27094436,1.10665941,0.269260973,0.396636665,0.236021891,0.5904446,3.33369279,2.92762256,51.875,42.25,4850.039,4850.039,3880.031,3880.031,3880.031,3880.031,3880.031,4850.039,11.1312838,23.8196182,7.604969,24.3223686,48,1800.00012,9501.996,0,4,1,0,0,57,1105,10240,1566.6875,8673.3125,15.2996826,106.071007,19.53125,4.8828125,22,32.049263,37,96.7100449,86.69096
03/23/2023 19:35:46,100,60,63.92157,57.64706,57.64706,57.64706,49.80392,1.176,1,3.328,3.31200027,1.008,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,40,38,-1,2343.75,1141.1665,1348.65137,3.125,0.78125,0,0,0,0,4.6875,6.25,1.85546875,36.4751129,100.0008,2.24486685,1.38168752,0.2778588,0.2469297,0.1811082,0.377398968,3.17902,2.88233542,51.625,42,4850.039,4850.039,3880.031,3880.031,3880.031,3880.031,4850.039,4850.039,10.7712049,23.7703781,7.58924866,24.338089,48,1800.00012,9501.996,0,4,1,0,0,57,1106,10240,1566.6875,8673.3125,15.2996826,105.584007,19.53125,4.8828125,22,32.049263,37,96.7100449,86.69096
03/23/2023 19:35:47,100,60,63.92157,57.64706,57.64706,57.64706,49.80392,1.1680001,1.008,3.328,3.31200027,1.008,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,40,38,-1,2343.75,1169.844,1331.361,0.78125,0.78125,0,0,0,0,6.25,3.90625,1.46484375,36.51848,100.0008,2.27065563,1.24094772,0.3534107,0.2760004,0.282294661,0.6333068,3.21890473,2.66925669,51.375,42,4850.039,3880.031,3880.031,3880.031,3880.031,3880.031,4850.039,4850.039,10.9447784,23.804,7.599983,24.3273544,47,1800.00012,9501.996,0,4,1,0,0,57,1105,10240,1566.9375,8673.0625,15.302124,105.597008,20.5078125,4.8828125,22,32.049263,37,96.7100449,86.69096
03/23/2023 19:35:48,100,60,63.92157,57.64706,57.64706,57.64706,49.80392,1.136,1,3.328,3.31200027,1,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,40,38,-1,2335.64014,1091.3501,1350,4.699898,0,0.793647766,0,0.793647766,0,5.46875,4.6875,2.05543041,35.3991165,100.0008,2.12724,0.847968459,0.278083235,0.3795776,0.274115622,0.521327853,3.13546,2.44560051,51,41,3880.031,3880.031,3880.031,3880.031,3880.031,3880.031,3880.031,4850.039,10.0093727,23.7990036,7.59838867,24.328949,47,1800.00012,9501.996,0,4,1,0,0,57,1104,10240,1567,8673,15.3027344,105.123009,20.5078125,4.8828125,22,32.049263,37,96.7100449,86.69096
03/23/2023 19:35:49,100,58.8235321,62.7451,57.64706,57.64706,57.64706,49.80392,1.144,1,3.344,3.31200027,1.008,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,40,38,-1,2335.64014,1139.24048,1327.43359,1.5625,0,0,0,0,0.78125,3.125,1.5625,0.87890625,33.87071,100.0008,1.961814,0.8298603,0.209822074,0.143350437,0.1646531,0.287357032,2.67732954,2.33634973,50.5,41.5,3775.03027,3775.03027,3880.031,3880.031,3880.031,3880.031,3880.031,4850.039,8.610537,23.79171,7.596058,24.33128,47,1800.00012,9501.996,0,4,1,0,0,57,1104,10240,1567.125,8672.875,15.3039551,106.007,23.4375,5.859375,22,32.049263,37,96.7100449,86.69096
